============================================================
BYZANTINE AUTHORITATIVE MANIFEST
============================================================
CivTechTrees ID: BYZANTINES
DAT civilization: Byzantine
DAT tech_tree_id: 256
Buildings: 28
Units/tech nodes: 145

============================================================
BUILDINGS
============================================================
87 | Archery Range | TYPE=BuildingTech | USE=Building | STATUS=ResearchRequired | AGE=2 | BUILDING=87 | LINK=12 | TRIGGER=<MISSING>
321 | Sappers | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=4 | BUILDING=82 | LINK=379 | TRIGGER=<MISSING>
441 | Herbal Medicine | TYPE=Research | USE=Tech | STATUS=NotAvailable | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>

============================================================
DAT OBJECT CROSS-REFERENCE
============================================================
BUILDING NODE 87 | Archery Range | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=175,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Spearman (make avail)' civ=-1 effect=87 required=(101, 950, -1, -1, -1, -1)
BUILDING NODE 12 | Barracks | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=175,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Crop rotation' civ=-1 effect=12 required=(103, 13, 766, -1, -1, -1)
BUILDING NODE 101 | Stable | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=175,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Middle Age' civ=-1 effect=101 required=(104, 659, -1, -1, -1, -1)
BUILDING NODE 49 | Siege Workshop | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=200,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Bogsveigar' civ=11 effect=467 required=(103, -1, -1, -1, -1, -1)
BUILDING NODE 103 | Blacksmith | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=150,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Imperial Age' civ=-1 effect=103 required=(102, 661, -1, -1, -1, -1)
BUILDING NODE 45 | Dock | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=1 creatable=-1
  COSTS: type=1,amount=150,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Faith' civ=-1 effect=45 required=(103, 46, 1138, -1, -1, -1)
BUILDING NODE 209 | University | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=200,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Cavalier' civ=-1 effect=175 required=(103, 166, 768, -1, -1, -1)
BUILDING NODE 598 | Outpost | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=25,flag=1 ; type=2,amount=5,flag=1 ; type=-1,amount=0,flag=0
  TECH: name='Genitour (make avail)' civ=27 effect=624 required=(102, 266, -1, -1, -1, -1)
BUILDING NODE 79 | Watch Tower | UNIT=YES | TECH=YES
  UNIT: class=52 enabled=0 creatable=-1
  COSTS: type=2,amount=125,flag=1 ; type=1,amount=35,flag=1 ; type=-1,amount=0,flag=0
  TECH: name='Disable Regionals' civ=-1 effect=79 required=(-1, -1, -1, -1, -1, -1)
BUILDING NODE 234 | Guard Tower | UNIT=YES | TECH=YES
  UNIT: class=52 enabled=0 creatable=-1
  COSTS: type=2,amount=125,flag=1 ; type=1,amount=35,flag=1 ; type=-1,amount=0,flag=0
  TECH: name='Conversion enabler' civ=-1 effect=223 required=(104, -1, -1, -1, -1, -1)
BUILDING NODE 235 | Keep | UNIT=YES | TECH=YES
  UNIT: class=52 enabled=0 creatable=-1
  COSTS: type=2,amount=125,flag=1 ; type=1,amount=35,flag=1 ; type=-1,amount=0,flag=0
  TECH: name='Make Camels Available' civ=-1 effect=224 required=(102, 858, -1, -1, -1, -1)
BUILDING NODE 236 | Bombard Tower | UNIT=YES | TECH=YES
  UNIT: class=52 enabled=0 creatable=-1
  COSTS: type=3,amount=100,flag=1 ; type=2,amount=125,flag=1 ; type=1,amount=0,flag=1
  TECH: name='Heavy Camel' civ=-1 effect=225 required=(103, 235, -1, -1, -1, -1)
BUILDING NODE 72 | Palisade Wall | UNIT=YES | TECH=YES
  UNIT: class=27 enabled=0 creatable=-1
  COSTS: type=1,amount=3,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Palisade Walls HP feudal age' civ=-1 effect=293 required=(101, -1, -1, -1, -1, -1)
BUILDING NODE 792 | Palisade Gate | UNIT=YES | TECH=YES
  UNIT: class=39 enabled=0 creatable=-1
  COSTS: type=1,amount=30,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='C-Bonus, Villager regeneration' civ=38 effect=815 required=(307, 20, -1, -1, -1, -1)
BUILDING NODE 487 | Gate | UNIT=YES | TECH=YES
  UNIT: class=39 enabled=0 creatable=-1
  COSTS: type=2,amount=30,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Mongols UT' civ=12 effect=542 required=(102, -1, -1, -1, -1, -1)
BUILDING NODE 117 | Stone Wall | UNIT=YES | TECH=YES
  UNIT: class=27 enabled=0 creatable=-1
  COSTS: type=2,amount=5,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Disable Spies (Regicide only)' civ=-1 effect=117 required=(-1, -1, -1, -1, -1, -1)
BUILDING NODE 155 | Fortified Wall | UNIT=YES | TECH=YES
  UNIT: class=27 enabled=0 creatable=-1
  COSTS: type=2,amount=5,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='C-Bonus, Military cost -30%' civ=21 effect=160 required=(103, -1, -1, -1, -1, -1)
BUILDING NODE 82 | Castle | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=2,amount=650,flag=1 ; type=1,amount=0,flag=1 ; type=-1,amount=0,flag=0
  TECH: name='Chain Barding Armor' civ=-1 effect=82 required=(102, 81, -1, -1, -1, -1)
BUILDING NODE 104 | Monastery | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=175,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Dark Age' civ=-1 effect=104 required=(-1, -1, -1, -1, -1, -1)
BUILDING NODE 109 | Town Center | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=275,flag=1 ; type=2,amount=100,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Farm -- Age One' civ=-1 effect=109 required=(-1, -1, -1, -1, -1, -1)
BUILDING NODE 70 | House | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=1 creatable=-1
  COSTS: type=1,amount=25,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='C-Bonus, start with eagle' civ=21 effect=40 required=(-1, -1, -1, -1, -1, -1)
BUILDING NODE 621 | Town Center | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=275,flag=1 ; type=2,amount=100,flag=1 ; type=-1,amount=0,flag=0
  TECH: name='Elite Rattan Archer' civ=31 effect=661 required=(103, 620, -1, -1, -1, -1)
BUILDING NODE 276 | Wonder | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=1000,flag=1 ; type=3,amount=1000,flag=1 ; type=2,amount=1000,flag=1
  TECH: name='Teutonic Knight (make avail)' civ=4 effect=273 required=(102, 266, -1, -1, -1, -1)
BUILDING NODE 584 | Mining Camp | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=1 creatable=-1
  COSTS: type=1,amount=100,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='C-Bonus, Villagers 5% faster' civ=27 effect=609 required=(104, -1, -1, -1, -1, -1)
BUILDING NODE 562 | Lumber Camp | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=1 creatable=-1
  COSTS: type=1,amount=100,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Organ Gun (make avail)' civ=24 effect=591 required=(102, -1, -1, -1, -1, -1)
BUILDING NODE 84 | Market | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=0 creatable=-1
  COSTS: type=1,amount=175,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Missionary (avail)' civ=14 effect=496 required=(102, -1, -1, -1, -1, -1)
BUILDING NODE 68 | Mill | UNIT=YES | TECH=YES
  UNIT: class=3 enabled=1 creatable=-1
  COSTS: type=1,amount=100,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Iron casting' civ=-1 effect=68 required=(102, 67, -1, -1, -1, -1)
BUILDING NODE 50 | Farm | UNIT=YES | TECH=YES
  UNIT: class=49 enabled=0 creatable=-1
  COSTS: type=1,amount=60,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Masonry' civ=-1 effect=50 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 4 | Archer | UNIT=YES | TECH=YES
  UNIT: class=0 enabled=0 creatable=3
  COSTS: type=1,amount=25,flag=1 ; type=3,amount=45,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Mayan El Dorado' civ=16 effect=456 required=(103, -1, -1, -1, -1, -1)
UNIT NODE 24 | Crossbowman | UNIT=YES | TECH=YES
  UNIT: class=0 enabled=0 creatable=3
  COSTS: type=1,amount=25,flag=1 ; type=3,amount=45,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Aztec Garland Wars' civ=15 effect=465 required=(103, -1, -1, -1, -1, -1)
UNIT NODE 492 | Arbalester | UNIT=YES | TECH=YES
  UNIT: class=0 enabled=0 creatable=3
  COSTS: type=1,amount=25,flag=1 ; type=3,amount=45,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Spanish UT' civ=14 effect=547 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 7 | Skirmisher | UNIT=YES | TECH=YES
  UNIT: class=0 enabled=0 creatable=3
  COSTS: type=0,amount=25,flag=1 ; type=1,amount=35,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Citadels' civ=8 effect=458 required=(103, -1, -1, -1, -1, -1)
UNIT NODE 6 | Elite Skirmisher | UNIT=YES | TECH=YES
  UNIT: class=0 enabled=0 creatable=3
  COSTS: type=0,amount=25,flag=1 ; type=1,amount=35,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Mongol Siege Drill' civ=12 effect=457 required=(103, -1, -1, -1, -1, -1)
UNIT NODE 5 | Hand Cannoneer | UNIT=YES | TECH=YES
  UNIT: class=44 enabled=0 creatable=4
  COSTS: type=0,amount=45,flag=1 ; type=3,amount=50,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Celtic Furor Celtica' civ=13 effect=239 required=(103, -1, -1, -1, -1, -1)
UNIT NODE 39 | Cavalry Archer | UNIT=YES | TECH=YES
  UNIT: class=36 enabled=0 creatable=3
  COSTS: type=1,amount=40,flag=1 ; type=3,amount=60,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Husbandry' civ=-1 effect=39 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 474 | Heavy Cavalry Archer | UNIT=YES | TECH=YES
  UNIT: class=36 enabled=0 creatable=3
  COSTS: type=1,amount=40,flag=1 ; type=3,amount=60,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus Vil Forging' civ=21 effect=529 required=(67, 113, -1, -1, -1, -1)
UNIT NODE 437 | Thumb Ring | UNIT=YES | TECH=YES
  UNIT: class=36 enabled=0 creatable=3
  COSTS: type=1,amount=40,flag=1 ; type=3,amount=65,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Thumb Ring' civ=-1 effect=451 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 436 | Parthian Tactics | UNIT=YES | TECH=YES
  UNIT: class=22 enabled=0 creatable=3
  COSTS: type=1,amount=300,flag=1 ; type=3,amount=200,flag=1 ; type=4,amount=4,flag=0
  TECH: name='Parthian Tactics' civ=-1 effect=452 required=(103, 57, -1, -1, -1, -1)
UNIT NODE 74 | Militia | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=1 creatable=2
  COSTS: type=0,amount=50,flag=1 ; type=3,amount=20,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Scale Mail Armor' civ=-1 effect=74 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 75 | Man-at-Arms | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=0 creatable=2
  COSTS: type=0,amount=50,flag=1 ; type=3,amount=20,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Blast Furnace' civ=-1 effect=75 required=(103, 68, -1, -1, -1, -1)
UNIT NODE 77 | Long Swordsman | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=0 creatable=2
  COSTS: type=0,amount=50,flag=1 ; type=3,amount=20,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Plate Mail Armor' civ=-1 effect=77 required=(103, 76, -1, -1, -1, -1)
UNIT NODE 473 | Two-Handed Swordsman | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=0 creatable=2
  COSTS: type=0,amount=50,flag=1 ; type=3,amount=20,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus Lcav Cheaper' civ=22 effect=524 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 567 | Champion | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=0 creatable=2
  COSTS: type=0,amount=50,flag=1 ; type=3,amount=20,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Elite Mali Unit' civ=26 effect=597 required=(103, 566, -1, -1, -1, -1)
UNIT NODE 93 | Spearman | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=0 creatable=2
  COSTS: type=0,amount=35,flag=1 ; type=1,amount=25,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Ballistics' civ=-1 effect=93 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 358 | Pikeman | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=0 creatable=2
  COSTS: type=0,amount=35,flag=1 ; type=1,amount=25,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Mangonel' civ=-1 effect=167 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 359 | Halberdier | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=0 creatable=2
  COSTS: type=0,amount=35,flag=1 ; type=1,amount=25,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Sub-Shadow Age4' civ=-1 effect=357 required=(138, 107, 146, 266, -1, -1)
UNIT NODE 602 | Arson | UNIT=YES | TECH=YES
  UNIT: class=30 enabled=0 creatable=None
  TECH: name='Arson' civ=-1 effect=628 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 875 | Gambesons | UNIT=YES | TECH=YES
  UNIT: class=36 enabled=0 creatable=3
  COSTS: type=0,amount=60,flag=1 ; type=3,amount=80,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Gambesons' civ=-1 effect=886 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 215 | Squires | UNIT=YES | TECH=YES
  UNIT: class=11 enabled=0 creatable=None
  TECH: name='Squires' civ=-1 effect=204 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 448 | Scout Cavalry | UNIT=YES | TECH=YES
  UNIT: class=47 enabled=0 creatable=1
  COSTS: type=0,amount=80,flag=1 ; type=-1,amount=0,flag=0 ; type=4,amount=1,flag=0
  TECH: name='Elite Turtle Ship' civ=18 effect=501 required=(103, 447, -1, -1, -1, -1)
UNIT NODE 546 | Light Cavalry | UNIT=YES | TECH=YES
  UNIT: class=12 enabled=0 creatable=1
  COSTS: type=0,amount=80,flag=1 ; type=-1,amount=0,flag=0 ; type=4,amount=1,flag=0
  TECH: name='Koreans' civ=18 effect=-1 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 441 | Hussar | UNIT=YES | TECH=YES
  UNIT: class=12 enabled=0 creatable=1
  COSTS: type=0,amount=80,flag=1 ; type=-1,amount=0,flag=0 ; type=4,amount=1,flag=0
  TECH: name='Herbal Medicine' civ=-1 effect=41 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 38 | Knight | UNIT=YES | TECH=YES
  UNIT: class=12 enabled=0 creatable=1
  COSTS: type=0,amount=60,flag=1 ; type=3,amount=75,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus, +5 monk HP' civ=15 effect=470 required=(103, 230, -1, -1, -1, -1)
UNIT NODE 283 | Cavalier | UNIT=YES | TECH=YES
  UNIT: class=12 enabled=0 creatable=1
  COSTS: type=0,amount=60,flag=1 ; type=3,amount=75,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus, Building HP x1.5' civ=7 effect=282 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 569 | Paladin | UNIT=YES | TECH=YES
  UNIT: class=12 enabled=0 creatable=1
  COSTS: type=0,amount=60,flag=1 ; type=3,amount=75,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Elite Ethiopia Unit' civ=25 effect=599 required=(103, 568, -1, -1, -1, -1)
UNIT NODE 329 | Camel Rider | UNIT=YES | TECH=YES
  UNIT: class=12 enabled=0 creatable=1
  COSTS: type=0,amount=55,flag=1 ; type=3,amount=60,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus, Inf v Building Age4' civ=3 effect=328 required=(103, -1, -1, -1, -1, -1)
UNIT NODE 330 | Heavy Camel Rider | UNIT=YES | TECH=YES
  UNIT: class=12 enabled=0 creatable=1
  COSTS: type=0,amount=55,flag=1 ; type=3,amount=60,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus, Castle 25% cheaper' civ=2 effect=329 required=(103, -1, -1, -1, -1, -1)
UNIT NODE 435 | Bloodlines | UNIT=YES | TECH=YES
  UNIT: class=11 enabled=0 creatable=None
  TECH: name='Bloodlines' civ=-1 effect=450 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 1258 | Battering Ram | UNIT=YES | TECH=YES
  UNIT: class=13 enabled=0 creatable=5
  COSTS: type=1,amount=160,flag=1 ; type=3,amount=75,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Achaemenids full tech tree' civ=46 effect=-1 required=(-1, -1, -1, -1, -1, -1)
UNIT NODE 422 | Capped Ram | UNIT=YES | TECH=YES
  UNIT: class=13 enabled=0 creatable=5
  COSTS: type=1,amount=160,flag=1 ; type=3,amount=75,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus' civ=5 effect=434 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 548 | Siege Ram | UNIT=YES | TECH=YES
  UNIT: class=13 enabled=0 creatable=5
  COSTS: type=1,amount=160,flag=1 ; type=3,amount=75,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Hindustanis' civ=20 effect=-1 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 280 | Mangonel | UNIT=YES | TECH=YES
  UNIT: class=13 enabled=0 creatable=5
  COSTS: type=1,amount=160,flag=1 ; type=3,amount=135,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Town Patrol' civ=-1 effect=280 required=(102, 8, -1, -1, -1, -1)
UNIT NODE 550 | Onager | UNIT=YES | TECH=YES
  UNIT: class=13 enabled=0 creatable=5
  COSTS: type=1,amount=160,flag=1 ; type=3,amount=135,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Magyars' civ=22 effect=-1 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 588 | Siege Onager | UNIT=YES | TECH=YES
  UNIT: class=13 enabled=0 creatable=5
  COSTS: type=1,amount=160,flag=1 ; type=3,amount=135,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus, +100f, +100g in age3' civ=25 effect=614 required=(102, -1, -1, -1, -1, -1)
UNIT NODE 279 | Scorpion | UNIT=YES | TECH=YES
  UNIT: class=55 enabled=0 creatable=4
  COSTS: type=1,amount=75,flag=1 ; type=3,amount=75,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Stone Shaft Mining' civ=-1 effect=279 required=(102, 278, 765, -1, -1, -1)
UNIT NODE 542 | Heavy Scorpion | UNIT=YES | TECH=YES
  UNIT: class=55 enabled=0 creatable=4
  COSTS: type=1,amount=75,flag=1 ; type=3,amount=75,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Spanish' civ=14 effect=-1 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 1105 | Siege Tower | UNIT=YES | TECH=YES
  UNIT: class=13 enabled=0 creatable=5
  COSTS: type=1,amount=100,flag=1 ; type=3,amount=120,flag=1 ; type=4,amount=1,flag=0
  TECH: name='' civ=-1 effect=-1 required=(-1, -1, -1, -1, -1, -1)
UNIT NODE 36 | Bombard Cannon | UNIT=YES | TECH=YES
  UNIT: class=13 enabled=0 creatable=5
  COSTS: type=1,amount=225,flag=1 ; type=3,amount=225,flag=1 ; type=4,amount=1,flag=0
  TECH: name='C-Bonus, +5 monk HP' civ=15 effect=470 required=(103, 233, -1, -1, -1, -1)
UNIT NODE 211 | Padded Archer Armor | UNIT=YES | TECH=YES
  UNIT: class=11 enabled=0 creatable=None
  TECH: name='Padded Archer Armor' civ=-1 effect=202 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 212 | Leather Archer Armor | UNIT=YES | TECH=YES
  UNIT: class=4 enabled=0 creatable=0
  COSTS: type=0,amount=50,flag=1 ; type=-1,amount=0,flag=0 ; type=4,amount=1,flag=0
  TECH: name='Leather Archer Armor' civ=-1 effect=203 required=(102, 211, -1, -1, -1, -1)
UNIT NODE 219 | Ring Archer Armor | UNIT=YES | TECH=YES
  UNIT: class=11 enabled=0 creatable=None
  TECH: name='Ring Archer Armor' civ=-1 effect=208 required=(103, 212, -1, -1, -1, -1)
UNIT NODE 199 | Fletching | UNIT=YES | TECH=YES
  UNIT: class=49 enabled=0 creatable=-1
  COSTS: type=1,amount=100,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Fletching' civ=-1 effect=192 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 200 | Bodkin Arrow | UNIT=YES | TECH=YES
  UNIT: class=0 enabled=0 creatable=3
  COSTS: type=1,amount=35,flag=1 ; type=3,amount=40,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Bodkin Arrow' civ=-1 effect=193 required=(102, 199, -1, -1, -1, -1)
UNIT NODE 201 | Bracer | UNIT=YES | TECH=YES
  UNIT: class=30 enabled=0 creatable=None
  TECH: name='Bracer' civ=-1 effect=194 required=(103, 200, -1, -1, -1, -1)
UNIT NODE 67 | Forging | UNIT=YES | TECH=YES
  UNIT: class=39 enabled=1 creatable=-1
  COSTS: type=2,amount=30,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Forging' civ=-1 effect=67 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 81 | Scale Barding Armor | UNIT=YES | TECH=YES
  UNIT: class=39 enabled=1 creatable=-1
  COSTS: type=2,amount=30,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Scale Barding Armor' civ=-1 effect=81 required=(101, -1, -1, -1, -1, -1)
UNIT NODE 80 | Plate Barding Armor | UNIT=YES | TECH=YES
  UNIT: class=39 enabled=1 creatable=-1
  COSTS: type=2,amount=30,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Plate Barding Armor' civ=-1 effect=80 required=(103, 82, -1, -1, -1, -1)
UNIT NODE 76 | Chain Mail Armor | UNIT=YES | TECH=YES
  UNIT: class=6 enabled=0 creatable=2
  COSTS: type=0,amount=65,flag=1 ; type=3,amount=25,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Chain Mail Armor' civ=-1 effect=76 required=(102, 74, -1, -1, -1, -1)
UNIT NODE 13 | Fishing Ship | UNIT=YES | TECH=YES
  UNIT: class=21 enabled=1 creatable=0
  COSTS: type=1,amount=75,flag=1 ; type=-1,amount=0,flag=0 ; type=4,amount=1,flag=0
  TECH: name='Heavy plow' civ=-1 effect=13 required=(102, 14, 761, -1, -1, -1)
UNIT NODE 545 | Transport Ship | UNIT=YES | TECH=YES
  UNIT: class=20 enabled=1 creatable=5
  COSTS: type=1,amount=125,flag=1 ; type=-1,amount=0,flag=0 ; type=4,amount=1,flag=0
  TECH: name='Huns' civ=17 effect=-1 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 1103 | Fire Galley | UNIT=YES | TECH=YES
  UNIT: class=22 enabled=0 creatable=2
  COSTS: type=1,amount=75,flag=1 ; type=3,amount=45,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Achaemenids Static Bonuses' civ=46 effect=1103 required=(-1, -1, -1, -1, -1, -1)
UNIT NODE 529 | Fire Ship | UNIT=YES | TECH=YES
  UNIT: class=22 enabled=0 creatable=2
  COSTS: type=1,amount=75,flag=1 ; type=3,amount=45,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Britons' civ=1 effect=-1 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 532 | Fast Fire Ship | UNIT=YES | TECH=YES
  UNIT: class=22 enabled=0 creatable=2
  COSTS: type=1,amount=75,flag=1 ; type=3,amount=45,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Teutons' civ=4 effect=-1 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 906 | Fishing Lines | UNIT=YES | TECH=YES
  UNIT: class=14 enabled=1 creatable=-1
  COSTS: type=1,amount=100,flag=1 ; type=-1,amount=0,flag=0 ; type=-1,amount=0,flag=0
  TECH: name='Fishing Lines' civ=-1 effect=913 required=(101, 758, -1, -1, -1, -1)
UNIT NODE 65 | Gillnets | UNIT=NO | TECH=YES
  TECH: name='Gillnets' civ=-1 effect=24 required=(102, 912, 906, -1, -1, -1)
UNIT NODE 539 | Galley | UNIT=YES | TECH=YES
  UNIT: class=22 enabled=0 creatable=3
  COSTS: type=1,amount=90,flag=1 ; type=3,amount=30,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Vikings' civ=11 effect=-1 required=(104, -1, -1, -1, -1, -1)
UNIT NODE 21 | War Galley | UNIT=YES | TECH=YES
  UNIT: class=22 enabled=0 creatable=3
  COSTS: type=1,amount=90,flag=1 ; type=3,amount=30,flag=1 ; type=4,amount=1,flag=0
  TECH: name='Hun Atheism' civ=17 effect=464 required=(103, -1, -1, -1, -1, -1)
UNIT NODE 442 | Galleon | UNIT=YES | TECH=YES
  UNIT: class=22 enabled=0 creatable=3
  COSTS: type=1,amount=90,flag=1 ; type=3,amount=30,flag=1 ; type=4,amount=1,flag=0
  TECH: name='New Research' civ=0 effect=0 required=(0, 0, 0, 0, 0, 0)
UNIT NODE 2626 | Hulk | UNIT=YES | TECH=NO
  UNIT: class=22 enabled=0 creatable=1
  COSTS: type=1,amount=75,flag=1 ; type=3,amount=35,flag=1 ; type=4,amount=1,flag=0
UNIT NODE 2627 | War Hulk | UNIT=YES | TECH=NO
  UNIT: class=22 enabled=0 creatable=1
  COSTS: type=1,amount=75,flag=1 ; type=3,amount=35,flag=1 ; type=4,amount=1,flag=0
UNIT NODE 2628 | Carrack | UNIT=YES | TECH=NO
  UNIT: class=22 enabled=0 creatable=1
